texto,delito,arma,departamento,municipio,genero,edad
"Un hombre me sacó un cuchillo y me dijo que me iba a matar si volvía por el barrio,""Amenaza"",""Arma blanca"",""Antioquia"",""Medellín"",""Masculino"",""Adulto"""
"Mi expareja me envió audios donde dice que me va a apuñalar,""Amenaza"",""Arma blanca"",""Antioquia"",""Medellín"",""Femenino"",""Adulto"""
"Un vecino me intimidó con un machete por una discusión,""Amenaza"",""Arma blanca"",""Santander"",""Landázuri"",""Masculino"",""Adulto"""
"Mi pareja me mostró un cuchillo diciéndome que no lo dejara,""Amenaza"",""Arma blanca"",""Huila"",""Oporapa"",""Femenino"",""Adulto"""
"Un hombre me persiguió con un cuchillo después de una pelea,""Amenaza"",""Arma blanca"",""Santander"",""Girón"",""Masculino"",""Adulto"""
"Me amenazaron con un arma blanca en una finca,""Amenaza"",""Arma blanca"",""Magdalena"",""Zona Bananera"",""Masculino"",""Adulto"""
"Un sujeto me dijo que me degollaría si hablaba con la policía,""Amenaza"",""Arma blanca"",""Antioquia"",""Medellín"",""Masculino"",""Adulto"""
"Una mujer me intimidó con un cuchillo para que no denunciara,""Amenaza"",""Arma blanca"",""Santander"",""Barbosa"",""Femenino"",""Adulto"""
"Me amenazaron con arma blanca por una deuda,""Amenaza"",""Arma blanca"",""Bolívar"",""Mompós"",""Masculino"",""Adulto"""
"Un hombre dijo que me iba a matar con un cuchillo,""Amenaza"",""Arma blanca"",""Magdalena"",""Zona Bananera"",""Femenino"",""Adulto"""
"Una persona me amenazó con machete dentro de mi casa,""Amenaza"",""Arma blanca"",""Bolívar"",""Norosí"",""Femenino"",""Adulto"""
"Mi vecino sacó un cuchillo para intimidarme,""Amenaza"",""Arma blanca"",""Cesar"",""Aguachica"",""Masculino"",""Adulto"""
"Un sujeto me dijo que me iba a apuñalar por una discusión,""Amenaza"",""Arma blanca"",""Risaralda"",""Pereira"",""Masculino"",""Adulto"""
"Una persona me persiguió con un arma blanca,""Amenaza"",""Arma blanca"",""Valle"",""Caicedonia"",""Femenino"",""Adulto"""
"Un hombre amenazó a mi hijo con cuchillo,""Amenaza"",""Arma blanca"",""Huila"",""Pitalito"",""Masculino"",""Menor"""
"Un hombre me obligó mediante amenazas con cuchillo a tener relaciones,""Acceso carnal violento"",""Arma blanca"",""Cundinamarca"",""Bogotá D.C."",""Femenino"",""Adulto"""
"Una persona me forzó físicamente a un acto sexual usando un arma blanca,""Acto sexual violento"",""Arma blanca"",""Antioquia"",""Yondó"",""Femenino"",""Adulto"""
"Fui víctima de acceso carnal bajo intimidación con cuchillo,""Acceso carnal violento"",""Arma blanca"",""Cauca"",""Popayán"",""Masculino"",""Adulto"""
"Un sujeto me obligó a sostener un acto sexual con amenaza de arma blanca,""Acceso carnal violento"",""Arma blanca"",""Bolívar"",""María La Baja"",""Femenino"",""Adulto"""
"Me sometieron a un acto sexual bajo amenaza con cuchillo,""Acto sexual violento"",""Arma blanca"",""Cundinamarca"",""Bogotá D.C."",""Femenino"",""Adulto"""
"Un hombre me forzó a un acceso carnal utilizando un arma blanca,""Acceso carnal violento"",""Arma blanca"",""Huila"",""Acevedo"",""Femenino"",""Menor"""
"Me obligaron a realizar un acto sexual bajo intimidación,""Acto sexual violento"",""Arma blanca"",""Cundinamarca"",""Soacha"",""Masculino"",""Adulto"""
"Un conocido me sometió a un acto sexual violento con amenaza de cuchillo,""Acto sexual violento"",""Arma blanca"",""Antioquia"",""El Carmen de Viboral"",""Femenino"",""Adulto"""
"Fui forzado a un acto sexual bajo amenaza de arma blanca,""Acto sexual violento"",""Arma blanca"",""Santander"",""Barrancabermeja"",""Masculino"",""Adulto"""
"Un hombre me obligó a acceso carnal utilizando un cuchillo,""Acceso carnal violento"",""Arma blanca"",""Atlántico"",""Soledad"",""Femenino"",""Adulto"""
"Fui víctima de acto sexual violento cometido bajo amenaza,""Acto sexual violento"",""Arma blanca"",""Antioquia"",""San Luis"",""Femenino"",""Adulto"""
"Me obligaron a realizar un acto sexual usando intimidación con arma blanca,""Acto sexual violento"",""Arma blanca"",""Atlántico"",""Barranquilla"",""Femenino"",""Adulto"""
"Un sujeto me forzó a un acceso carnal en contra de mi voluntad,""Acceso carnal violento"",""Arma blanca"",""Huila"",""Pitalito"",""Femenino"",""Adulto"""
"Fui víctima de un acto sexual violento con uso de arma blanca,""Acto sexual violento"",""Arma blanca"",""Bolívar"",""Simití"",""Femenino"",""Adulto"""
"Un hombre me forzó a acceso carnal bajo amenaza con cuchillo,""Acceso carnal violento"",""Arma blanca"",""Córdoba"",""Montería"",""Femenino"",""Adulto"""
"Recibí mensajes donde me exigían dinero a cambio de no hacerme daño,""Extorsión"",""Desconocido"",""Guajira"",""Riohacha"",""Masculino"",""Adulto"""
"Una persona me está pidiendo plata mediante amenazas constantes,""Extorsión"",""Desconocido"",""Norte de Santander"",""Cúcuta"",""Masculino"",""Adulto"""
